BIB_REF|REFERENCE|DATE|VERIFIED|CISP_NOTES
Alcock/1987|Alcock, L. (1987). _Arthur's Britain. History and Archaeology AD 367--634_.  Harmondsworth.|1987|t|
Allan/1930|Allan, D. A. (1930). _Handbook and Guide to the Replicas and Casts of the Manx Crosses on exhibition in the Public Museums, Liverpool_. Liverpool.|1930|t|
Allen/1887|Allen, J. R. (1887). `The Early Christian Monuments of the Isle of Man.' _Journal of the British Archaeological Association_  ??:240--???|1887|f|volume/pages
Allen/1888|Allen, J. R.(1888). `Early Inscribed stones visited during the Llanwrst meeting.' _Archaeologia Cambrensis_ ??:176--178.|1888|t|Figures for Denbighshire stones, vol
Allen/Anderson/1903/III| Allen, J.R. and J. Anderson (1903) _The Early Christian Monuments of Scotland_, part III. Edinburgh: Society of Antiquaries of Scotland.|1903|t|KF
Allen/Westwood/1884|Allen, J. R. and J. O. Westwood (1884) `Discovery of Two Ogham Stones at Castell Villia, and Four Crosses at St Edren's, Pembrokeshire', _Archaeologia Cambrensis_ 0 series, 39, 46--52.|1884|f|series?
Anderson/1795|Anderson,  J. (1795). `Parish of Stronsay', _in_ Sinclair, J. (ed.) _Statistical Account of Scotland, 15_|1795|f|check!
Anderson/1845|Anderson, J. (1845). `Parish of Stoneykirk', _in_  _The New Statistical Account of Scotland, 4 (Wigton)_, pp. 162--7.|1845|f|n check
Anderson/1881|Anderson, J. (1881). _Scotland in Early Christian Times_ (second series) Edinburgh: David Douglas|1881|t|SDsecond series?? or edition?  or what?
ANDRS|Kermode, F. M.C.(1909--1910), 'Discvery of bilingual inscription at Knock-y-doonee, Andreas',||f|
Anon/1848|Anonymous (1848). Report.... blah..., _Archaeologia Cambrensis_ 3: ???--??|1848|f|complete
Anon/1854|Anon (1854). `Annual meeting---Report.' _Archaeologia Cambrensis_ 5: 239--240.|1854|t|
Anon/1859|Anonymous (1859). `Llannor Inscribed Stones---Caernarvonshire', _Archaeologia Cambrensis_ ??: 234|1859|f|get vol number
Anon/1875|Anon (1875). `Carmarthen Meeting---Report.'  _Archaeologia Cambrensis_ 30:387--430.|1875|t|LBOID/2
Anon/1876|Anonymous (1876). `Llannor Inscribed Stones', _Archaeologia Cambrensis_ 31: 313.|1876|t|pcopied
Anon/1877|Anonymous (1877).  `Carnarvon Meeting---Report', _Archaeologia Cambrensis_ 32: ??--??.|1877|f|get page refs
Anon/1878|Anon (1878). `Lampeter meeting---Annual Report.' _Archaeologia Cambrensis_ 33:319--54.|1878|t|Llanfihangel-ar-arth
Anon/1893|Anon (1893). `Meeting at Llandeilo-Fawr. Report of Proceedings' _Archaeologia Cambrensis_ 48: 129--178.|1893|t|Cynwyl Gaeo
Anon/1894|Anon (1894). `Oswestry meeting report.' _Archaeologia Cambrensis_ /49, inc....|1894|f|LHAIR stone
Anon/1898|Anon. (1898) `Haverfordwest Meeting---Annual Report.' _Archaeologia Cambrensis_ 53: 265--286.|1898|t|Votipor
Anon/1901|Anon. (1901) `Excursions. Wednesday, August 15th. - Excursion No.2. Llantrisant',_Archaeologia Cambrensis_ 56: 60--65.||f|
Anon/1903|Anonymous (1903). `Archaeological Notes and Queries', _Archaeologia Cambrensis 58: ??--???|1903|f|pcopied rel part, get pages
Anon/1904|Anonymous (1904). `Report of the Portmadoc Meeting', _Archaeologia Cambrensis_ 59: ???--???.|1904|f|pc part, get pages
Anon/1908|Anon (1908). `Sixty-first annual meeting: Anglesey.' _Archaeologia Cambrensis_ 8:65--109.|1908|t|
Anon/1912|Anon (1912)  `Report of the 65th Annual Meeting at Abergele.'  _Archaeologia Cambrensis_ 67: 109--143.|1912|f|Brohomagli stone illus
Anon/1919|Anon (1919). `A Previously unknown Romano-British Inscription.' _Carmarthenshire Antiquarian Society Transactions_ 13: vi.|1920|t|LSADY
Anon/1919a|Anon (1919).  `Inscribed Stones in the Society's Museum.'  _Carmarthenshire Antiquarian Society Transactions_ 13: nos. I--VI.|1919|f|
Anon/1919b|Anon (1919). `No III --- Llanfihangel Crosefeini, Newchurch.' _Carmarthenshire Antiquarian Society Transactions_ 13: 9.|1919|t|NEWCH/2
Anon/1919c|Anon (1919). `Inscribed Stones in the Society's Museum. No. 1 --- Llanwinio Ogam Stone.'  _Carmarthenshire Antiquarian Society Transactions_ 13: 2b.|1919|t|LWNIO, page 2b???
Anon/1922|Anon (1922). `Roman inscription, ``Talori'' Stone; flue tile; crushing stone.' _Carmarthenshire Antiquarian Society Transactions_ 15: 16b.|1922|f|Cynwyl Gaeo
Anon/1923|Anon (1923). `Report of the 77th annual meeting held at Oswestry, August 20th to 25th, 1923.'  _Archaeologia Cambrensis_ 79, 339--4??|1923|f|LHAIR stone and site, pages
Anon/1923b|Anon (1923). `Inscribed Stone.' _Carmarthenshire Antiquarian Society Transactions_ 16: iv.|1923|t|LSADY illustration.
Anon/1925|Anon (1925). `The Meeting at Llandeilo Fawr --- Annual Report.' _Archaeologia Cambrensis_ 80: inc|1925|t|LANEY/1 and ???
Anon/1926|Anon (1926) `Pwllheli---Report', _Archaeologia Cambrensis_ 81, 435--445.|1926|f|
Anon/1930|Anon (1930). `Report of the Annual meeting at Menai Bridge, Anglesey.' _Archaeologia Cambrensis_ 85: 438--484.|1930|t|
Anstis/nd|Anstis, J. (nd) BL MS Stowe 1023: 39/25.|0|t|Porthgwarra stone
Bagnall/etal/1987|Bagnall, R.S., Cameron, A., Swartz, S.R., Worp, K.A. (1987). _Consuls of the Later Roman Empire_. Atlanta.|1987|t|PMCH2/1
Baldwin/1985|Baldwin, J. R. (1985) _Exploring Scotland's Heritage: Lothian and the Borders._ RCAHMS, Edinburgh: HMSO.|1985|t|n
Barber/1981|Barber, J. (1981). `Excavations on Iona, 1979.' _Proceedings of the Society of Antiquaries of Scotland_ 111: 282--380.|1981|f|n
Bernier/1982|Bernier, G. (1982). _Les Chretientes Bretonnes Continentales_. Rennes.|1982|t|Many Breton stones.
Birley/1931|Birley, E. (1931). `An introduction to the excavation of Chesterholm-Vindolanda.' _Archaeologia Aeliana_ 4th series, 8: 182--212.|1931|t|
Bowman/1994|Bowman, A. (1994). _Life and Letters on the Roman Frontier._ London.|1994|t|Roman Vindolanda/Chesterholm.
Brash/1871|Brash, W. (1871). `On an inscribed stone at Penrhos Llugwy, Anglesey.' _Archaeologia Cambrensis_ 26: 266--270.|1871|t|
Brash/1873|Brash, R. R. (1873). `Inscribed stone of Wales.' _Archaeologia Cambrensis_ ??:285--287.|1873|t|British or Irish names.
Brash/1879|Brash, R. R. (1879) _The Ogam inscribed monuments of the Gaedhil in the British Isles._ London.||f|publ
Breese/1877|Breese, E. (1877). `Rees' lives of the Welsh Saints', Archaeologia Cambrensis 32: 72.|1877|t|pc'd
Breese/1925|Breese, E. (1925). `Meini Hirion on Tir Gwyn Farm in the Parish of Llanor', _Archaeologia Cambrensis_ 80: 385--387.|1925|t|copied
Brown/1921|Brown, G. B. (1921). _The Arts in Early England, 5, the Ruthwell and Bewcastle Crosses, the Gospels of Lindisfarne, and other Christian monuments in Northumbria._ London.|1921|f|n
Browne/1890|Browne, G. F. (1890). 'Ogams and Runes in Man.' _The Academy_, Oct. 18, no. 963, p. 343.|1890|t|KMICH and Arbory Oghams
Bruce/1889|Bruce, Dr. (1889). `A Christian inscription from Chesterholm.' _Archaeologia Aeliana_ 2nd series, 13: 367--371.|1889|t|
Bruce/1968|Bruce, J. R. (1968) _The Manx Archaeological Survey. Sixth Report 1966. Keeills and Burial Grounds in the Sheading of Rushen._ Glasgow:|1968|t|pub?
Buckley/1986|"Buckley, V.M. (1986) _Archaeological Inventory of County Louth_.  Dublin: Stationery Office. 

"||f|
Butler/1979|Butler, L. A. S. (1979). `The 'Monastic City in Wales: myth or reality?'  _Bulletin of the Board of Celtic Studies_ 28: 458--467.|1979|t|Llandeilo Fawr site.
Byrne/1973|Byrne, F. J. (1973) _Irish Kings and High-Kings_. London.|1973|t|Identification of Man Ogham.
Calder/Jackson/1957|Calder, W. and K. H. Jackson (1957). `An inscription from Altyre.' _Proceedings of the Society of Antiquaries of Scotland_ 90: 246--50.|1957|t|photo
Camden/Gibson/1695|Camden, William (1594) _Britannia ..._, ed. E. Gibson (1695), 1 vol., London.|1695|f|
Camden/Gough/1806|Camden, W. (1594) _Britannia..._, ed. R. Gough (1806), 4 vols., London.|1806|f|publ
Campbell/Sandeman/1962|Campbell, M. and M. L. S. Sandeman (1962). `Mid Argyll: A survey of the historic and prehistoric monuments.' _Proceedings of the Society of Antiquaries of Scotland_ (1961--2, published 1964) 95: 1--125.|1964|f|n
Campbell/Thomson/1963|Campbell, J. L. and D. Thomson (1963). _Edward Lhuyd in the Scottish Highlands 1699--1700_.|1963|f|publisher, address????
Chalmers/1848|Chalmers, P. (1848). _The Ancient Sculptured Monuments of the County of Angus._ Edinburgh.|1848|t|SVIGN
Chanter/1913|Chanter, J.F. (1913). 'A Romano-British Inscribed Stone between Parracombe and Lynton.' _Transactions of the Devonshire Association_ 45: 270--275.|1913|t|LYNTN
Clancy/1993|Clancy, T. O. (1993). `The Drosten Stone: a new reading'/ _Proceedings of the Society of Antiquaries of Scotland_ 123: 345--353.|1993|t|SVIGN
Close-Brooks/Stevenson/1982|Close-Brooks, J. and R. B. K. Stevenson (1982). _Dark Age Sculpture_, (National Museum of Antiquities, Edinburgh). Edinburgh: HMSO.|1982|t|KF
Collier/1889|Collier, C. (1889). 'Further Discovery of Inscribed Stones at Egremont and Llandilo, in South Wales.' _Archaeologia Cambrensis_ 44: 176--177.|1889|t|EGRMT
Collingwood/1921|Collingwood, W. G. (1921) _Northumbrian Crosses of the pre-Norman Age_, London.|1921|f|
Collingwood/1922-23|Collingwood, W. G. (1923). `The Early Crosses of Galloway.'  _Transactions of the Dumfrieshire and Gallowayshire Natural History and Antiquarian Society_ 10: 205--231.|1923|t|Whithorn and Kirkmadrine
Collingwood/1927|Collingwood, W. G. (1927) _Northumbrian Crosses of the pre-Norman Age_. London.|1927|t|Reading of MAUGH 4, cf colingwood 1921
Collingwood/1938|Collingwood, R. J. (1938). `The early crosses of Galloway.' _Transactions of the Dumfriesshire and Galloway Natural History and Archaeological Society_, 3rd series 22: 275--89.|1938|f|n check with previous entry
Collingwood/Wright/1965|Collingwood, R. G. and R. P. Wright (1965). _The Roman Inscriptions of Britain. I Inscriptions on stone_. Oxford: Clarendon.|1965|t|IoA/KL
Cordiner/1780|Cordiner, C. (1780). _Antiquities and Scenery of the North of Scotland_. Edinburgh.|1780|f|n
Cowan/1967|Cowan, I. B. (1967). _The Parishes of Medieval Scotland._ Scottish Records Society vol. 93. Edinburgh.|1967|f|n
Cowan/Easson/1976|Cowan, I. B. and D. E. Easson (1976). _Medieval Religious Houses of Scotland_.|1976|f|n, publisher etc
Cowie/1977-78|Cowie, T. G. (1977-78). `Excavations at the Catstane, Midlothian 1977.'  _Proceedings of the Society of Antiquaries of Scotland_ 109: 166--201.|1978|t|Kirkliston
Cowie/1978|Cowie, T. (1978). `Excavations at the Catstane, Midlothian 1977.' _Proceedings of the Society of Antiquaries of Scotland_ 109: 166--201.|1978|f|n
Craig/1991|Craig, D. (1991). `Pre-Norman sculpture in Galloway: some territorial implications', _in_  Oram, R. D. and G. P. Stell (eds.) _Galloway Land and Lordship_, pp. 45--62.  Edinburgh: Scottish Society for Northern Studies.|1991|t|KF
Craig/1992|Craig, D. (1992). _The Distribution of Pre-Norman Sculpture in South-West Scotland: Provenance, ornament and regional groups_. Unpublished PhD thesis, 4 vols, Durham University.|1992|f|n
Craig/1997|Craig, D. (1997). `Appendix 1.  The provenance of the Early Christian inscriptions of Galloway', _in_ Hill, P. (ed.) _Whithorn and St Ninian. The excavation of a monastic town 1984-1991_, pp. 614--20.  Whithorn.|1997|t|proof
Crow/1995|Crow, J. (1995). _Housesteads._ London.|1995|t|Map with Chesterholm.
Cruden/1957|Cruden, S. (1957). _The Early Christian and Pictish Monuments of Scotland._ Edinburgh.|1957|t|
Cruickshank/1899|Cruickshank, F (1899). _Navar and Lethnot_.|1899|f|n INCOMPLETE
Cubbon/1964|Cubbon, A. M. (1964). 'The re-positioning of the Kirk Michael cross-slabs.'  _Journal of the Manx Museum_ vi, 80: 214--216.|1964|t|Movement of KMICH to inside church.
Cubbon/1966|Cubbon, A. M. (1966). 'Cross-slabs and related inscriptions found since 1939.' _Journal of the Manx Museum_ 7:26--28.|1966|f|Branhui description and find.
Cubbon/1971|Cubbon, A. M. (1971). _The Art of the Manx Crosses._ Douglas.|1971|f|Photos and brief notes on early stones
Cubbon/1982|Cubbon, A. M. (1982). 'The Early Church in the Isle of Man', /in/ Pearce, S. (ed.), _The Early Church in Western Britain and Ireland. Studies Presented to C. A. Ralegh Radford_. Oxford: British Archaeological Reports.|1982|t|Discusses a number of stones.
Cumming/1857|Cumming, J. G. (1857). _The Runic and Other Monumental Remains of the Isle of Man_. London.|1857|t|Drawings of Santon stone and crux guriat
Cuppage/etal/1986|Cuppage, J. et al. (1986) _Archaeological Survey of the Dingle Peninsula._ Ballyferrier: Oidrheacht Chorca Dhuibhne.|1986|t|
Curle/1940|Curle, C. (1940). `The Chronology of the Early Christian Monuments of Scotland.' _Proceedings of the Society of Antiquaries of Scotland_ 74 (1939--40): 60--116.|1940|f|KF
Daire/etal/1996|Daire, M.-Y., A. Villard, S. Hinguant and E. Le Goff (1996). `Les steles de l'age du fer a decors geometriques et curvilignes etat de la question dans l'Ouest Armoricain' _Revue Archéologique de l' Ouest_ 13: 123--156.|1996|t|pc
Dark/1992a|Dark, K. R. (1992). `Epigraphic, Art-Historical and Historical Approaches to the Chronology of Class I Inscribed Stones', _in_ Edwards, N. and A. Lane (eds.) _The Early Church in Wales and the West._ Oxbow: Oxford.|1992|t|Chronology of N-W is wrong
Dark/1992b|Dark, K. R. (1992). `A Sub-Roman Re-defence of Hadrian's Wall.' _Britannia_23: 111--120.|1992|t|Chesterholm and Castlesteads.
Dark/1992c|Dark, K. R. (1992) _The Inscribed Stones of Dyfed_. Gomer, Llandysul:|1992|t|pub?
Dark/1994|Dark, K. R. (1994). _Civitas to Kingdom. British Political Continuity 300--800._ Leicester University Press: Leicester.|1992|t|
Dark/1996|Dark, P. (1996). `Palaeoecological evidence for landscape continuity and change in Britian ca 400--800.'  _in_ Dark, K. R. _External Contacts and the Economy of Late Roman and Post-Roman Britain,_ pp.  23-51.  Woodbridge.|1996|t|No re-defence of Hadrian's wall.
Dark/Dark/1996|Dark, K. R. and S. P. Dark (1996). `New Archaeological and Palynological Evidence for a Sub-Roman Reoccupation of Hadrian's Wall.'  _Archaeologia Aeliana_ 5th series, 24: 57--72.|1996|t|Proposes four new north British stones.
Davidson/1795|Davidson, I. (1795). `Parish of Whithorn', _in_ Sinclair, J. (ed.) _The Statistical Account of Scotland 16_, pp. 275--98.  Edinburgh.|1795|f|n
Davies/1982|Davies, W. (1982).  _Wales in the Early Middle Ages._ Leicester University Press: Leicester.|1982|t|Discusses and illus many stones
Diack/1944|Diack, F. C. (1944). _The Inscriptions of Pictland._ (W. M. Alexander and J. Macdonald, eds.) Spalding Club: Aberdeen.|1944|f|inc
Dickie/1890|Dickie, W. (1887--90). `Field meeting, 6th of July.' _Transactions of the Dumfriesshire and Galloway Natural History and Archaeological Society_, 2nd series, 6: 162--9.|1890|f|n
Donaldson/1924|Donaldson, A. (1924). `William Todd, parish schoolmaster of Kirkmaiden, 1799--1845.' _The Gallovidian Annual 1924_, pp. 20--2.|1924|f|n
Donations/1862|Anon (1860--62) `Donations to the Museum', _Proceedings of the Society of Antiquaries of Scotland_ 4: 293.|1862|f|n
Drummond/1881|Drummond, J. (1881). _Sculptured Monuments in Iona and the West Highlands_.|1881|f|n
Dryden/MS|Dryden, Henry (n.d.) Manuscript Collections of Sir Henry Dryden. NMRS, MS 28.|1875|f|n
DumfMusCat|Dumfries Museum. Early Medieval Catalogue (unpublished).|1968|t|KF
Dumville/1984|Dumville, D. (1984). `Gildas and Maelgwn: problems of dating',  _in_  Dumville, D. and M. Lapidge (eds.) _Gildas: new approaches_, pp. 51--59.  Woodbridge.|1984|f|
Dunbar/Fisher/1995|Dunbar, J. G. and I. Fisher (1995). _Iona.  A Guide to the Monuments._ Edinburgh: HMSO.|1995|f|n
Duncan/1981|Duncan, A. A. M. (1981). `Bede, Iona and the Picts', _in_ Davis, R. H. C. and J. M. Wallace-Hadrill _The Writing of History in the Middle Ages_, pp. 1--42. Oxford.|1981|t|KF
Ed/1920|Anon (1920). `Discovery of an Inscribed stone at Llansadyrnin.' _Archaeologia Cambrensis_ 75:190--192.|1920|t|LSADY
Edwards/1986|Edwards, N. (1986). `Anglesey in the Early Middle ages: the archaeological evidence.' _Anglesey Antiquarian Society and Field Club Transactions_ ??:19-41.|1986|t|Discussion of Anglesey stones. VOLUME
Edwards/1987|Edwards, N. (1987). `Bryn Gwylan.' _Archaeology in Wales_ 27: 58.|1987|t|Llangernyw stone.
Edwards/1991|Edwards, N. (1991). `The Dark Ages',  _in_  Manley, J. _et al._ (eds.) _The Archaeology of Clwyd_, pp. 129--141.|1991|t|Denbighshire and Flintshire stones.
Evans/1888|Evans, Arthur J. 1888, `On a coin of a second Carausius', _Archaeologia Cambrensis_ 43: 138--163.|1888|t|nonsense
Evans/1907|Evans, G. E. (1907). `Llansaint.' _Archaeologia Cambrensis_ 62: 63--65.|1907|t|SISHM
Evans/1917|Evans, G. E. (1917). 'Moved Stones.' _Archaeologia Cambrensis_ 72: 163--166.|1917|t|New locations for Sir Gar stones.
Fisher/1921|Canon Fisher (1921). `Latin-Ogam Inscribed Stone.' _Archaeologia Cambrensis_ 75: 376--377|1921|t|Photo of CLOCG
Forsyth/1996|Forsyth, K. (1996) _The Ogham Inscriptions of Scotland: An Edited Corpus._ Unpublished PhD, Harvard University.|1996|t|
Fox/1895|Fox, George E. (1895). `Excavations on the site of the Roman City of Silchester, Hants, in 1894.'' _Archaeologia_ 54(2), 439--494.|1895|t|notes taken, in IoA lib
Francis/1877|Francis, G. G. (1877). `The Llanwinio Stone.' _Archaeologia Cambrensis_ 32: 74--75.|1877|f|
Frere/1987|Frere, S. (1987). _Britannia. A History of Roman Britain._ London.|1987|t|Coins at Chesterholm
Gascou/Janon/1985|Gascou, J. and Janon, M. (1985). _Inscriptions Latines de Narbonnaise. I. Frejus._ Paris.|1985|t|Similar face to that at PLAGT
Gippert/Web|Gippert, J. (1997) _Thesaurus Indogermanischer Text-und Sprachmateriale. Ogam-Inschriften_. University of Frankfurt, on-line data-base.|1997|f|
Glynne/1884|Glynne, S. R. (1884). `Notes on the older churches in the four Welsh dioceses.' _Archaeologia Cambrensis_ 39: 169--192.|1884|t|LHAIR church discussion.
Gough/1806|Gough, R. (1806) _Britannia...By William Camden._ 2nd edition, London.|1806|f|
Graham/1850|Graham, H. D. (1850). _Antiquities of Iona_.|1850|f|n
Graham-Campbell/1995|"Graham-Campbell, J. (1995). _The Viking-Age Gold and Silver of Scotland (AD 850-1100)_. Edinburgh.National Museums of Scotland. 
"|1995|t|Tarbat site hoard.
Guigon/1994|Guigon, P. (1994). _Les sepultures du Haut Moyen-Age en Bretagne._ Rennes.|1994|t|Many Breton stones
Halhed/1908|Halhed, W. B. (1908). `The Brohomagli Inscribed Stone at Voelas Hall.' _Archaeologia Cambrensis_ 6th series, 8: 234--235.|1908|t|Illustrates Brohomgali at Pentrefoelas
Handley/2000|Handley, M.A.(2000). `The Origins of Christian Commemoration in Late Antique Britain.' _Early Medieval Europe_ (Forthcoming).|2000|f|
Harden/1996|Harden, J. (1996). `A potential archaeological context for the Early Christian sculptured stones from Tarbat, Easter Ross', _in_ Bourke, C. (ed.) _From the Isles of the North: Early Medieval Art in Ireland and Britain_, pp. 221--227. Belfast: HMSO.|1996|t|KF
Harper/1876|Harper, M. M. L. (1876). _Rambles in Galloway --- topographical, historical, traditional, and biographical_. Edinburgh.|1876|f|n
Haverfield/1918|Haverfield, F. (1918). `Early Northumbrian Christianity and the altars to the `Di Veteres'.' _Archaeologia Aeliana_ 3rd series 15: 22--43.|1918|t|CHOLM
Hemp/1923|Hemp, W. J. (1923). `A newly discovered inscribed stone', _Archaeologia Cambrensis_ 78: 318--319.|1923|t|copied
Henderson/1978|Henderson, I. B. (1978). `Sculpture north of the Forth after the takeover by the Scots', _in_ Lang, J. (ed.) _Anglo-Saxon and Viking Age Sculpture and Its Context_,  pp. 47--73. Oxford: British Archaeological Reports, British series 49.|1978|f|
Higgitt/1982|Higgitt, J. C. (1982). `The Pictish Latin inscription at Tarbat in Ross-shire.' _Proceedings of the Society of Antiquaries of Scotland_ 112: 300--321.|1982|f|inc
Higgitt/1994|Higgitt, J. C. (1994). `The display script of the Book of Kells and the tradition of insular decorative capitals', _in_ O'Mahony, F. (ed.) _The Book of Kells. Proceedings of a conference at Trinity College Dublin, 6--9 September 1992._ Scolar Press.|1994|f|KF
Higgitt/1997|Higgitt, J. C. (1997) '_legentes quoque vel audientes_: Early Medieval inscriptions in Britain and Ireland and their audiences', _in_ Henry, D. (ed.) _The Worm, the Germ and the Thorn: Pictish and related studies present to Isabel Henderson. Balgavies, F|1997|t|KF
Hill/1997|Hill, P. (1997). _Whithorn and St Ninian. The excavation of a monastic town 1984--1991._ Whithorn.|1997|t|Find spot of WHIT1/1
Hubner/1876|Hübner, A. (1876). _Inscriptiones Britanniae Christianae_ Williams and Norgate, London and George Reimer, Berlin.|1876|f|Cambridge U.L. Borrowed MAH
Huebner/1876|Huebner, E. (1876) _Inscriptiones Britanniae Christianae_. Berlin:|1876|t|pub?
Hughes/1923|Hughes, H. H. (1923) `INCOMPLETE', _Archaeologia Cambrensis_|1923|f|
Hughes/1924|Hughes, H. (1924). `Early Christian Decorative Art in Anglesey. II.' _Archaeologia Cambrensis_ 79: 39--58.|1924|t|Illustration and discussion of Anglesey
Jackson/1953|Jackson, K. H. (1953) _Language and History in Early Britain._  Edinburgh: Edinburgh University Press.|1953|t|n
Jackson/1955|Jackson. K. H. (1955), `The Pictish language', _in_  Wainwright, F. T. (ed.) _The Problem of the Picts_, pp. 129--66. Edinburgh: Nelson.|1955|t|KF
Jackson/1982|Jackson, K. H. (1982). `Varia: II. Gildas and the names of the British Princes.' _Cambridge Medieval Celtic Studies_ 3: 30--40.|1982|f|
Jackson/1982b|Jackson, K. H. (1982). `Brigomaglos and St. Briog.'  _Archaeologia Aeliana_, 5th series, 10: 61--5.|1982|t|Chesterholm
